make,model,price,engine,cylinders,fuel,mileage,transmission,trim,body,doors,drivetrain,vehicle_age
15,57,0.2582020136152313,16V GDI DOHC Turbo Hybrid,-0.646720197947545,5,-0.13229005697975935,19,Trailhawk,6,4.0,1,-0.28135375487034925
20,21,0.042300854181040314,16V GDI DOHC Hybrid,-0.646720197947545,5,-0.12025677373828035,19,Preferred,6,4.0,0,-0.28135375487034925
0,73,0.8366439670867857,24V GDI SOHC,0.8344538325517469,4,-0.10220684887606185,3,Advance,6,4.0,0,-0.28135375487034925
15,23,-1.1511076849971758,16V GDI DOHC Turbo,-0.646720197947545,4,-0.12025677373828035,19,Latitude,6,4.0,1,-0.28135375487034925
7,29,-0.1784702562178317,16V MPFI OHV,2.3156278630510387,4,-0.09217911284149602,19,Pursuit,6,4.0,0,3.0747946067973886
24,81,-0.3127185711442046,16V GDI DOHC Turbo,-0.646720197947545,4,-0.11825122653136719,33,Wilderness,6,4.0,0,-0.28135375487034925
26,11,0.08591397059807238,"gasoline direct injection, DOHC, variable valve control,",-0.646720197947545,4,-0.11223458491062768,24,2.0T SEL,6,4.0,0,-0.28135375487034925
12,64,-0.3213221511818077,c,-0.646720197947545,3,-0.10621794328988819,1,SE Standard Range,6,4.0,3,-0.28135375487034925
1,92,1.9770241513162532,c,-0.646720197947545,3,-0.12426786815210669,32,S line Premium,6,4.0,0,-0.28135375487034925
26,67,-1.3952545600265167,"4 gasoline direct injection, DOHC, variable valve control",-0.646720197947545,4,-0.12226232094519353,22,1.4T S,7,4.0,2,-0.28135375487034925
12,116,-0.6094609165921002,16V GDI DOHC Hybrid,-0.646720197947545,5,-0.10621794328988819,9,Limited,7,4.0,2,-0.28135375487034925
16,33,0.12200571830298601,c Motor,-0.646720197947545,3,-0.13229005697975935,1,Light Long Range,6,4.0,3,-0.28135375487034925
7,29,0.4640386077224149,16V MPFI OHV,2.3156278630510387,4,-0.10421239608297501,19,R/T,6,4.0,0,-0.28135375487034925
7,61,-0.39383030998928037,"4 gasoline direct injection, DOHC, Multiair variable valv",-0.646720197947545,4,-0.12426786815210669,9,R/T EAWD,6,4.0,0,-0.28135375487034925
7,61,-0.8194099137361255,16V GDI DOHC Turbo,-0.646720197947545,4,-0.11424013211754086,28,GT,6,4.0,0,-0.28135375487034925
16,121,-0.8277970515086317,"4 gasoline direct injection, DOHC, CVVT variable valve co",-0.646720197947545,5,-0.11624567932445402,32,EX,6,4.0,0,-0.28135375487034925
9,126,-0.7717926154148002,"4 gasoline direct injection, DOHC, variable valve control",-0.646720197947545,4,-0.13429560418667252,32,SLE,6,4.0,0,-0.28135375487034925
8,45,1.072566036042443,24V PDI DOHC Twin Turbo,0.8344538325517469,4,-0.11825122653136719,3,XLT,6,4.0,1,-0.28135375487034925
7,61,-0.5709883039711203,16V GDI DOHC Turbo Hybrid,-0.646720197947545,5,-0.12426786815210669,9,R/T,6,4.0,0,-0.28135375487034925
26,10,-0.05233852623259379,16V GDI DOHC Turbo,-0.646720197947545,4,-0.13429560418667252,19,2.0T Peak Edition SE w/Technology,6,4.0,0,-0.28135375487034925
12,64,0.2830928741013786,c,-0.646720197947545,3,-0.11424013211754086,1,Limited,6,4.0,3,-0.28135375487034925
15,58,0.06638005617307415,24V MPFI DOHC,0.8344538325517469,4,-0.11825122653136719,19,Limited,6,4.0,3,-0.28135375487034925
12,134,-0.5226675682882299,"ream 2.5L I-4 port/direct injection, DOHC, CVVT variable",-0.646720197947545,4,-0.12426786815210669,32,Limited,6,4.0,0,-0.28135375487034925
2,144,2.1274515255586217,24V GDI DOHC Turbo,0.8344538325517469,4,-0.11424013211754086,19,xDrive40i,6,4.0,0,-0.28135375487034925
15,23,-1.1511076849971758,16V GDI DOHC Turbo,-0.646720197947545,4,-0.12025677373828035,19,Latitude,6,4.0,1,-0.28135375487034925
25,136,0.6605681844304304,"MAX 3.4L V-6 port/direct injection, DOHC, variable valve",0.8344538325517469,5,8.603873576333996,3,Limited,5,4.0,1,-0.28135375487034925
12,64,-0.43928318565963637,c,-0.646720197947545,3,-0.12025677373828035,1,SE,6,4.0,0,-0.28135375487034925
22,68,-1.3870297539528331,"4 DOHC, CVTCS variable valve control, regular unleaded, e",-0.646720197947545,4,-0.11424013211754086,34,SV,6,4.0,2,-0.28135375487034925
3,41,-1.2476950457966824,12V GDI DOHC Turbo,-1.3873072131971909,4,-0.12226232094519353,9,Preferred,6,4.0,2,-0.28135375487034925
0,73,0.08180156756123065,24V GDI SOHC,0.8344538325517469,4,-0.12426786815210669,3,Base,6,4.0,2,-0.28135375487034925
22,100,-0.7661110059560057,"o 1.5L I-3 gasoline direct injection, DOHC, CVTCS variabl",-1.3873072131971909,4,-0.12627341535901987,32,SV,6,4.0,0,-0.28135375487034925
15,139,0.6993113498827814,24V GDI DOHC Twin Turbo,0.8344538325517469,4,-0.11825122653136719,19,Base,6,4.0,1,-0.28135375487034925
22,100,-0.7428434624580853,"o 1.5L I-3 gasoline direct injection, DOHC, CVTCS variabl",-1.3873072131971909,4,-0.12426786815210669,32,SV,6,4.0,0,-0.28135375487034925
15,140,1.9481832194920867,"ne 3L I-6 gasoline direct injection, DOHC, variable valve",0.8344538325517469,4,-0.12426786815210669,32,Series II Carbide 4x4,6,4.0,1,-0.28135375487034925
16,120,-1.1993201995475178,"4 port/direct injection, DOHC, CVVT variable valve contro",-0.646720197947545,4,-0.13429560418667252,19,S,6,4.0,2,-0.28135375487034925
0,73,0.08180156756123065,24V GDI SOHC,0.8344538325517469,4,-0.12426786815210669,3,Base,6,4.0,2,-0.28135375487034925
23,2,0.7082937038843041,24V DDI OHV Turbo Diesel,0.8344538325517469,0,-0.10822349049680136,32,Tradesman,5,4.0,1,-0.28135375487034925
7,29,-0.12706521825731001,16V MPFI OHV,2.3156278630510387,4,-0.07011809356545118,19,Pursuit,6,4.0,0,3.0747946067973886
22,76,-0.22365257905681651,24V MPFI DOHC,0.8344538325517469,4,-0.12426786815210669,33,Platinum,6,4.0,0,-0.28135375487034925
9,148,2.504061066827286,"6.2L V-8 gasoline direct injection, variable valve contr",2.3156278630510387,4,-0.13429560418667252,32,Denali,6,4.0,1,-0.28135375487034925
